Index,Content
10,"The product [Brandname not yet set] is said to be an app specially developed for fitness center chains, to which customers of a Gyms/fitness studio have access to their membership.The app should take over the function of a social medium as well as that of a Gym's website itself. The customer receives access to the following feature with the creation of a profile: - Management of its subscription - video in which devices of a gym explains and demonstrates the respective uses- presentation videos of the (personnel) trainers of the Gyms, as well as the possibility of booking training units with them - are a recipes in which you can scan or upload a recipe scanner from a course program that is offered by the gym and can be uploaded and upload themin which the nutritional values ​​are immediately calculated - a profile in the gym internal social media;On this you can share your recipes, post progress pictures and updates for followers and find training partners.The training partner finding works in that the training plan (training plan) is displayed on the personal profile and therefore proposed profiles of other customers who planned the same day on the same day.With these you can then get in touch with a chat function.- To make the possibility of visible online that you have checked in in the gym - the possibility of seeing the number of people currently checked in (the current utilization) of the gym - Access to a reward system, measured in regularity and consequence of the training The app shouldThe fitness center and its partner fire also offer the opportunity to switch advertisements on the feed of the social media.Furthermore, the app should offer the GYM the opportunity to transmit important updates directly to customers."
11,"Our idea is an app that links learners and teachers for a unique educational experience.Users have the option of finding the right person for their desired areas from a variety of qualified providers.Whether for personnel training in table tennis or violin lessons, whether manual services or academic support, our app offers a perfect platform for users and providers.There should also be the possibility of evaluating the employer as an employee."
12,"The idea of ​​our app is to make psychotherapy accessible to everyone in order to support the user in everyday life in checking his anxiety disorder, preventing panic attacks and finding solutions.The AI ​​Chatbot enables the user to be treated around the clock, whereby his identity is maintained.Other features of the app are a habittracker that keeps an eye on the habits of the user, synchronizing with the calendar and exchanging and communicating with other users who are in the same location.Furthermore, the app can suggest therapists who specialize in the needs and problems of the user and gives the possibility to write diary entries that can be shared with their own therapist in order to send this to the patient's mental condition on an ongoing basis.The app helps the user by sending it notifications/memories, shares daily motivational sayings and suggests the most productive type of coping with stress."
13,"Our project is about a fitness app that works directly with gyms to provide users unique information.The app is geared towards the city where the user is currently, which means that it can select his current gym.A great advantage of this function is that you can see in real time how many people are in this gym.This information can be extremely useful, for example to avoid peak times and to ensure a pleasant training experience.In addition, the app offers the option of creating individual training plans that are tailored to the existing devices in the selected gym.These personalized training plans can be adapted depending on the needs and goals of the user.In this way you can train effectively and efficiently by optimally using the available resources.Further features are also planned for our fitness app.An example of this is a mode in which you can challenge yourself as a group.If you cut off best in the group, you get points.With these points you can buy gymnastics in the app."
14,"Project idea: BookaBite It is about a table reservation website that should give the user the opportunity to choose his seat.There should be a plan on the website with which the user can get a precise overview of the seating options and the layout of the restaurant in order to reserve its desired place.Since the restaurants, it should be possible to create a layout plan.In addition, further restaurant information such as menu, opening times or delivery options should be found on the website.The layout plan thus distinguishes itself from the old -fashioned method of only being able to reserve seats via a phone call.Furthermore, it should also be possible for the customers of the restaurants to evaluate the restaurants in various criteria."
15,"Application for more efficient bar operations In our project, we are planning to develop an innovative mobile application, which is intended to support bars in optimizing your company and increasing customer satisfaction.The app should enable bar owners to create a profile for their location in order to communicate special events, news and changes.In addition, the integration of drinks cards is planned, which means that customers can give up and pay for orders directly via the app.This reduces the need for manual order acceptance and billing, which leads to a significant saving for the bars and more efficient operation.Furthermore, the app enables users to search for local within a certain area and to view their own order history.Analytical data is provided for the operators that offer detailed insights into order quantities and statistics and thus facilitate planning.Our goal is to develop an application that brings advantages for both companies and the users.BARS can increase their productivity by using the system and reduce costs, while users receive simple access to trendy restaurants and benefit from a simple and modern ordering process."
16,"The platform offers an interactive map view to display free accommodations nearby.Both public and private providers have the opportunity to present their available rooms for a small listing fee.At a glance, users can see which accommodations are currently free.The app or website offers a user -friendly interface to enable travelers a quick and comfortable search.Due to the clear representation of the free rooms and their availability, users can easily find accommodation that meets their requirements."
17,"The project idea is the development of a search engine that is designed to facilitate users access to products in local shops in their immediate vicinity.Users can search for specific products and receive information about their availability in local shops, which facilitates spontaneous purchases and at the same time supports the local economy.Companies have the option of synchronizing their current stock with the platform.The goal is to create a comprehensive source of information that simplifies the purchase process, promotes local dealers and strengthens the sense of community by forming an interface between the comfort of online search and the need for immediate availability of products."
18,"Tourismio - The tourists app This application enables tourists simple and quick, without researching the Internet for a long time, all sights that are near their current position.In the app you can then click on the respective sights and read or listen to information about history, for example.Furthermore, it is possible to call up information about the number of visitors at different times.In addition, there is also a community feed for every attraction, in which other users can post feedback and other facts about the attraction.Another, possibly paid feature is that, stating the time, travel, costs and preferred sights, a personalized route can be created by the app.This also provides a detailed description of how to carry out the route, how to get to sight from sight, at what time you go where or, if desired, where you could take a break.Advertising in the app or a subscription offer other ways to implement money with the app."
19,"CarKeeper Poor car maintenance often leads to not only material losses but as well as big financial costs. CarKeeper helps you stay ahead of potential problems and simplifies the process of maintaining your car. Stay informed and make proactive decisions about your car's health. People without technical knowledge or who simply dont have the time should still be able to easily keep their car in perfect condition! Recieve reminders for everything that your car needs, stay connected to your local workshop and insurance company. Get an overview of your insurance coverage and file claims instantly. Beyond this, CarKeeper can also store your vehicle's service history. Easily access important records for warranties, repairs, and even resale value. To achieve this, we will aim for partnerships with major car manufacturers, who can then incorporate CarKeeper into their system and give users the necessary feedback."
20,"Pine's platform is created for those eager to learn in STEM/IT, designed with a keen focus on maximizing available study time for individuals, whether they are working professionals or students. Our standout feature is the personalization of learning material based on the user's available time, offering a mix of courses, articles, podcasts, and videos that suit their schedule. This approach ensures an efficient and targeted learning experience. Unlike mere video hosting or search engines, Pine is designed as a full-fledged educational ecosystem akin to Udemy and Coursera. It uniquely integrates user profiles, progress tracking, forums, and discussions, enriching the learning experience with diverse materials like articles, podcasts, and videos, beyond traditional courses. Although we include progress tracking and various motivating features, we decided to keep Pine without gamification. This approach maintains our serious and academic tone, aligning with our goal of becoming a reputable source for STEM/IT education. Pine will foster a community where both academic institutions and certified users can contribute to the diverse educational material, enriching the learning experience. This initiative supports a community-driven approach to learning, diversifying the range of subjects and perspectives available. Monetization relies subscription model, free from advertisements, will ensure users have access to premium features and an extensive selection of courses, focusing on the quality and depth of learning."
21,
22,
23,"Our project is a training partner find app.It is a bit similar to Tinder just not for dating, but sport.You can search for partners from gender, place, age, sport and level.A chat function would also be included so that you can write each other in the app.You could also upload the training tracks (as with Strava or training peak) and the app would suggest using the tracks training partners.Self -identification would also be necessary so that the app can be used safely."
24,"Globetracker Travel Management Application Project Overview: Globetracker is a travel management application designed to revolutionize the way travelers plan, book, and track their journeys. Our client envisions an iOS and Android application that functions as a one-stop solution for all travel-related tasks, catering to the needs of both leisure and business travellers. The aim of this app is to enable users to easily book a trip from the start to the end, without any difficulties or problems. Users will find everything they need regarding a trip on this application. Below we will describe the features in more detail. Features: # Destination Recommendations We will ask the user to input some information about their budget constraints, interests and past travels and our application will then suggest some destinations that matches their preferences and help them explore new places. # Flight and Hotel Booking In our application we will have partnerships with airlines and accomodation providers, so that users can search and compare prices of flights. All of that will be within the platform for booking. This will make booking much easier for users and it will help them saving time,money and energy by bringing together deals and details. With a seamless booking system integrated directly into the app, users can search for and reserve flights, hotels, restaurants, and rental cars. Users would be able to use the app offline too. # Artificial Intelligence (AI) Tool A lot of travels have the problem to find their gate in airports due to the fact, that airports are really huge and it is mostly complicated to find the necessary gate for the flight. This tool will help users to find their gate faster and easier. It works the same as Google Map. So it will display the route and also have a speaking tool that translate signs into any language. # Travel Updates and Alerts Stay informed about flight statuses and receive emergency alerts directly through the app. Globetracker keeps travellers updated on any disruptions or changes to their itinerary, as well as weather alerts, ensuring a smooth and stress-free travel experience. # Analytics and Insights Users would be gaining valuable insights into travel history and identify opportunities for cost-saving and time optimization. By analysing past trips and expenditures, users can make decisions to improve future travel experiences. # Expense Tracking and Budget Management Globetracker helps users to track their expenses efficiently, monitor invoices, and generate expense reports in real-time. This feature enables travellers to stay within budget and manage finances effectively throughout their journey. # Customizable Trip Organization Users can plan their trips effortlessly by inputting their location and accessing customisable task lists. From booking flights and accommodations to creating packing lists, Globetracker streamlines the entire travel planning process. Additionally, the project entails the development of a web interface with user authentication functionality to complement the mobile application. A server-side process will manage a global database and cater to diverse clients' needs, leveraging existing server infrastructure for integration. Globetracker aims to redefine the travel management landscape by offering a solution that combines convenience, efficiency, and personalisation."
25,"The idea is a safe and user -friendly app that enables users to find a variety of doctors and conveniently make appointments.Every doctor has a complete profile with all relevant information, including specialization, availability and location.The app offers functions such as memories of upcoming appointments, ratings and feedback from doctors as well as the possibility of adding personal notes or preferences.By integrating health files or insurance information, users can also safely manage their medical information.The app strives to create a seamless and stress -free experience for users by simplifying access to health services and at the same time ensuring security and privacy."
26,"Our project idea is a social media app in which the focus is not on photos or texts, but on music.The app works according to a principle that resembles the ""Bereal"" app: Once a day, all users are given the opportunity to share the recent song with its friends at a randomly selected time.Only by sharing a song does the user get the opportunity to see the recently played songs played by his friends.The meaning of the app is to offer the individual user a large selection of musicians and songs, which it would never have discovered without the app.Furthermore, the app helps to combine people with similar taste in music and to recognize common interests."
27,"Working title: Stuffinder A card app, with entries of more special locations, such as: Taboquet machines beverage machines, drinking fountains Weekly markets + opening times dog meadows Sports activities etc.is smaller everyday problems, since they are usually not really or only incompletely implemented.Basically, there should be a good database when launched, which is subsequently expanded and evaluated by the users, by entries.An entry consists of a category that is assigned with an image of a respective location and can be seen on the map."
28,"As a project idea, we want to create a file sharing website that is focused on the sharing of chess analyzes (mainly in .PGN format).The main benefit of this website is the sharing of opening analyzes, commented games, thematic studies, etc., users create a profile/account and can upload subsequent files or download the files of other users.The downloaded files can be assessed and commented on.Users can also suggest changes to a file that (after a review?) Are added to a version of a version.A PGN-viewer is integrated on the website, which offers a preview of the files.In addition, there is a search function that can be used to filter according to a wide variety of criteria (ECO code, topic, etc.).Users can also create a private library to save their files online.Each file is automatically checked for malware before uploading.A reporting system is implemented in order to be able to process copyright claims effectively, for example."
29,"Project idea: Task Management App Our idea is a simple task tracking/managing app in which the user can enter, categorize and pursue tasks to be fulfilled.If the user has fulfilled a task, he can ""tick off"" this (using a checkbox) and the task is then archived and marked as fulfilled.Archived tasks and current tasks are used for statistics to enable the user to evaluate his data in detail.It is to be enabled the user to subdue tasks in Sub tasks, set deadlines and to set memories (push notifications) for the planned implementation time.We also want to motivate the user to increase its productivity and commitment with the app using a gamification.Possible approaches would be an achievement system or a dot system, for example.Achievements and points of high scores can be shared with a few clicks on some social media platforms."
30,"It is about the following idea: We want to offer a platform that enables users to expand their own knowledge.We want to convey this knowledge through quizzes.Our platform should offer the possibility that users can complete quizzes from different categories.The topics that are available change in a certain period of time to create larger variance.The goal behind this system is to encourage people to find out more about new subject areas.Furthermore, the learning experience that we offer should have a varied and enriching effect, especially for younger users.The content provided on the platform is mainly created by the user base itself.In the course of this, the aim is to provide an editor or a toolkit, which enables the design process of this quizzes simple and linear.A qualification system is used to ensure the correctness of the answers or content.Depending on the correctness of the sources that match the topics, the quizzes are offered publicly, but there should also be the possibility for private purposes to create questions that do not have to be proven.The original transfer of knowledge should take place with the help of artificial intelligence.A short version of the sources provided is created based on the questions.In addition, there should be the possibility of offering verified quizzes if the creator should have a renowned training in this field.Cooperation with higher educational institutions would offer themselves.These quizzes would be categorically highlighted by others, for example with a ""checkmark"" system.In the future, other aspects could also be added.For example, a karma system that rewards users check the quizzes for their correctness and possibly correct.A community feature with rankings, user profiles or similar social aspects would also be worth considering."
31,"Project management donation management system Our project idea deals with software that allows users to manage all ongoing memberships in various aid organizations.It often happens that a person willing to donate are overwhelmed by the large number of organizations and the registration process.Many also disturbs the elaborate process of canceling an ongoing membership, which is often only possible via direct contact with the respective organization.Since there is a very large selection of aid organizations or donation projects and you could quickly lose track, we would like to develop a program on which donations can be managed easily and centrally.This should also be possible for disposable and acute donations.In order to protect the users from fraud as possible, each participating aid organization must go through a verification process.The possibility of a monthly subscription should also be offered to users, in which all users decide on the allocation of these funds.The management of their members is also to be made possible by the participating organizations via the platform."
32,"Travel Buddy ""Travel Buddy"" is an app that serves to support tourists.Depending on the use of the user, the Audio files/video files/text files in the selected language can be accessed either by using the interactive card, or by a QR code placed on site, via the selected attraction.In addition, there is the possibility to download files so that no internet connection is necessary.As an additional feature, the forwarding/integration to/from apps is based on public transport (ÖBB Scotty, Graz Mobil).Sights and insider tips are marked on the map and presented by users with information, images and reviews, which can be evaluated by other users with up or down votes.The participation of the users is rewarded with an internal point system that can be exchanged for premiums and discounts.Through a weather service, you can look up the local weather and plan accordingly.A local event guide that is primarily run by users is also planned."
33,"Name of the startup: Evento Bullet Points: - Platform to rent hobby, event rooms - offer the network for landlords and potential customers - offer an all in one solution for the landlord (dashboard as an overview, calendar view when which rooms are rented, view sales, The possibility to block your own rooms, set max. Rental duration, cleaning flat rate, etc.) - Possibility to host public events - role of startups: provision of the infrastructure, mediation of customers Short description of the idea: We want to develop a platform that enables private individualsTo offer rooms for renting.These can be hobby rooms, workshops, party locations, etc.Users can filter these premises according to any criteria and rent the hour.The platform offers the infrastructure for payment, communication between customer and the landlord and problem treatment.Our goal is to find a platform that makes it easier for people to find hobby rooms or location for events and thus also offer a wide range of customers for landlords.The company earns better ranking of the ads and advertising for events or premises at every booking."
34,"Dinednamics Our idea is a management surface for restaurants.In which waiter, restaurant owners and service can reserve forces, can reserve table places, can accept orders, be able to make tables and be able to see upcoming orders.The reason for this is based on a restaurant as efficient as possible.Those features can be used on both cash terminal terminals and on mobile devices.From a customer's point of view: There will also be a mobile app where customers can reserve tables and order food/drinks with their account.Furthermore, there will be the possibility to collect points for its reservations/orders.The points can be used to get discounts or discounts.The app should be simple and user -friendly and, above all, bring an advantage for the restaurant operators, since human resources and finacial resources can be saved.Approximately structure of the point system: A point in the app is earned equivalent for each euro spent.With the points it will be possible to redeem discounts on the one hand, but continue to climb a ""genius level"" the more points you collect the more and better discounts you can get if you have reached a certain level, there will also be premium offers, like tablesIn exclusive restaurants and special locations with dined dynamics, customers and hosts can get more efficiently to their wishes/needs."
35,Code of Conduct and our project idea are both in this PDF document from group SG-7 Daryna Neil Jiamu
36,"Our application is intended to improve telephone use for older people by reducing the complexity of modern smartphones.This is realized by creating a launcher that adapted to the requirements and technical knowledge of the user.The large amount of information (unnecessary notifications, extended settings, ...) overwhelms many older users.In order to avoid this, the program should make the homescreen more accessible, integrate filters and a better overview for notifications and give users more security when making decisions through an oncoming approach.With our approach, accessible operation would be available on any common Android device without being limited to specialized ""senior cell phones""."
37,
38,"Project idea group TM-3 It is to be created that software can be created that can control and manage smart home devices of all kinds energy-efficiently.The user entered all of its devices in our software.These devices can be, for example: · lamps etc. · air conditioning/heating · automatic window · humid moisture · Ev.Charging station for electric car In addition, the customer can enter different sensors in the software.These sensors could include: · temperature sensors · Air humidity sensors · Live weather data · place of residence (and floor) of the owner · If available, current production of your own photovoltaic system The devices are then automatically controlled.The software will try to bring all data together and therefore automatically always producing a pleasant living climate in the apartment or house of the user and using as little energy as possible.For example, it will use the live weather data in order to activate the heating only if the outside temperature is not sufficient to bring the apartment to a pleasant temperature during the day.Or you will use the data of a possible PV system so as not to activate too many devices at the same time.In addition, the user could also define his own rules according to which the smart home devices are to be controlled.For example, a window can be opened from a desired temperature or the heating/air conditioning system can be switched on.Or the dehumidifier can be activated as soon as a certain humidity has been reached.If the customer has a photovoltaic system, he could also determine rules how the solar power is to be used.For example, he could set priorities that the apartment is heated first and then loaded the electric car.However, these own rules should not be necessary for the function of the software, but only optional.The software should also achieve the best possible energy efficiency without its own rules."
39,"Name: LTL AG Problem: A massive problem of modern learning culture is that many simply do not know how to learn correctly.This means that an enormous amount of time is wasted with ineffective methods.Unfortunately, modern techniques are still unknown and would enable learners to save time.Even highly helpful learning groups are still used too rarely.Features: The website offers a text input based on the Chatgpt API.Many prefabricated learning methods are offered, which means that without any entries you can find a learning strategy that is suitable.A more personalized learning strategy can also be developed through specific entries from the user.In addition, people who follow a similar learning method and obtain the same subjects are displayed.To do this, we offer the opportunity to connect to various other apps (Quizlet, Duolingo, Studo, Reddit, etc.) and to incorporate them.Target group: Learners - students, students, further training, etc. Goals and solutions: The aim of this project is to help people create an optimal learning set and find friends.Slogan: Every 10 1/2 minutes there are two people to learn.Learner with Love to Learn"
40,"Our software startup presents a placement platform that beats the bridge between passionate hobby chefs and customers.We perform as an intermediary and do not offer direct services, but only create space for culinary encounters and new social contacts.Customers opens up a world of new culinary possibilities by choosing a wide range of hobby chefs.When registering on our platform, everyone has the opportunity to choose their role freely.The culinary preferences are first queried as a customer, so that with the help of an algorithm, the suitable cooks and dishes are automatically displayed in the personalized feed.For cooks, it is necessary to confirm your address and identity in order to be able to actively cook.A valuation system is implemented as an additional incentive that enables the chefs to collect points or stars.With our platform we not only promote a cosmopolitan picture, but also the feeling of community.Every cook can offer a session for a defined number of guests, which enables several customers and the cook to meet in an inviting and social atmosphere and to enjoy meals together.In this way, our platform not only offers the customer unique culinary experiences, but also enables talented chefs to share their passion and at the same time build their own small company."
41,"Companies “Cleanbox” laundry services are becoming more important because they save time and effort and at the same time ensure hygienically clean and well-groomed laundry.In specially designed container boxes in Graz and the surrounding area, there is therefore the option of having your own laundry after loosening a ticket (then stored in a locked locker) for cheap kilo prices in a large laundry.The laundry is picked up daily and after a while in the same locker is made available for collection.Payment by means of a debit card to submit the ticket to a cash register system.Communication with customers and laundry takes place via a central online portal (dynamic web/mobile app).Upon request, customers receive status updates on their smartphone and laundry can access the current order list in real time."
